time/iterations,train/reward_mean,train/reward,time/time_elapsed,train/reward_max,time/fps,train/reward_min,time/total_timesteps,train/entropy_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/loss,train/n_updates,train/std,train/explained_variance,train/approx_kl,train/policy_gradient_loss
11,-0.018919999,0.5187516,20,5.118566,1118,-5.0198865,22528,-41.80708618164063,0.0003,0.21806640625,3.979199196398258,0.2,1.386244297027588,100,1.0242760181427002,0.39260590076446533,0.020008292,-0.0272777967446018
12,-0.019529538,3.3351738,21,4.9677987,1127,-4.9972076,24576,-41.87315468788147,0.0003,0.248681640625,4.059473262727261,0.2,1.5739551782608032,110,1.0265319347381592,0.33538365364074707,0.024605751,-0.023337421612814067
13,-0.007256804,-0.7082044,23,5.4484468,1138,-5.111475,26624,-41.932982611656186,0.0003,0.240087890625,3.9657216146588326,0.2,1.45661461353302,120,1.0286109447479248,0.4462618827819824,0.020685203,-0.020832306300872006
14,-0.015723756,-1.4178779,24,5.530528,1148,-4.936231,28672,-42.00139472484589,0.0003,0.23837890625,3.7955985575914384,0.2,1.2070568799972534,130,1.0314677953720093,0.44566935300827026,0.022043023,-0.026409398784744555
15,-0.002285358,0.5878954,26,5.675302,1156,-4.8400874,30720,-42.063738322258,0.0003,0.2888671875,4.118991562724114,0.2,1.7406833171844482,140,1.0328806638717651,0.4154336452484131,0.029099718,-0.023295924803824163
16,0.000776114,0.022852277,28,5.547366,1162,-5.5108137,32768,-42.12096877098084,0.0003,0.283203125,4.2083949282765385,0.2,1.7649959325790405,150,1.0353131294250488,0.5223717391490936,0.023453409,-0.02207993406918831
17,0.0039239633,-0.77361625,29,5.566334,1167,-4.8088384,34816,-42.15086410045624,0.0003,0.261474609375,4.291554409265518,0.2,1.6547837257385254,160,1.0352447032928467,0.4991009831428528,0.02866429,-0.02901751921745017
18,-0.0116015095,-2.405902,31,5.6397457,1173,-4.927593,36864,-42.162836742401126,0.0003,0.306787109375,4.022385783493519,0.2,1.443267822265625,170,1.036447286605835,0.5364604592323303,0.027177714,-0.026123753644060343
19,-0.015477008,0.24880718,33,5.463087,1178,-5.1249013,38912,-42.19131214618683,0.0003,0.3060546875,3.8315982595086098,0.2,1.6827878952026367,180,1.0372912883758545,0.6099145412445068,0.027921278,-0.019897690758807585
20,-0.007641586,-0.35818842,34,6.0395446,1182,-5.332524,40960,-42.226718354225156,0.0003,0.289453125,4.163444493710995,0.2,1.4253361225128174,190,1.0387587547302246,0.5595932602882385,0.02870825,-0.016654133930569515
21,0.0022535718,-0.032650765,36,5.921748,1187,-5.3782434,43008,-42.27982504367829,0.0003,0.29853515625,4.264780351519585,0.2,1.1791094541549683,200,1.041271448135376,0.6015309691429138,0.028651476,-0.022606262910994702
22,-0.009852316,0.7490231,38,5.643443,1171,-4.931094,45056,-42.32288873195648,0.0003,0.294482421875,4.166274277865886,0.2,1.636615514755249,210,1.0414589643478394,0.5976248979568481,0.027457764,-0.022437706065829843
23,-0.002220166,-0.5018453,41,6.3234663,1130,-5.676821,47104,-42.32970621585846,0.0003,0.273095703125,3.9074896335601808,0.2,0.9966315627098083,220,1.0421985387802124,0.6283353567123413,0.024338506,-0.023693366724182853
24,-0.003989696,-0.95630014,44,5.5774336,1111,-5.062928,49152,-42.348569893836974,0.0003,0.244287109375,4.27714916318655,0.2,1.5502333641052246,230,1.042765736579895,0.6311277449131012,0.024008803,-0.024211830805870704
25,0.0005936933,5.111678,46,5.593941,1097,-4.883613,51200,-42.37551121711731,0.0003,0.28564453125,4.578135235607624,0.2,1.248811960220337,240,1.0440109968185425,0.5291051864624023,0.033898257,-0.01566316664684564
26,0.004672442,1.5385563,48,5.6376715,1097,-4.714832,53248,-42.406294298172,0.0003,0.31142578125,3.794721783697605,0.2,1.6156837940216064,250,1.0450984239578247,0.6497536897659302,0.028198643,-0.015612392747425475
27,-0.0103294505,-0.18809578,50,5.565744,1098,-5.0512857,55296,-42.42725977897644,0.0003,0.33505859375,3.543114587664604,0.2,0.9428420066833496,260,1.0458612442016602,0.6459202170372009,0.03306579,-0.016704040340846403
28,0.004496604,-0.18367706,52,5.827031,1098,-5.2729077,57344,-42.4538256406784,0.0003,0.29736328125,4.035333544015884,0.2,1.1088062524795532,270,1.0467197895050049,0.6206303238868713,0.029063439,-0.022196314530447125
29,0.0077852095,-0.70249695,54,5.6074,1080,-5.010478,59392,-42.506737637519834,0.0003,0.31982421875,3.827468690276146,0.2,1.3709025382995605,280,1.0492805242538452,0.5776706337928772,0.03064755,-0.02239717811171431
30,0.00826515,-1.5267943,57,5.6048884,1064,-5.033101,61440,-42.56792204380035,0.0003,0.316259765625,3.6893766075372696,0.2,0.9692566394805908,290,1.051177978515625,0.6181613802909851,0.030689018,-0.015673989639617504
31,0.004212766,0.45706114,59,5.5857687,1059,-4.7970366,63488,-42.589774465560915,0.0003,0.305712890625,3.5594607427716256,0.2,1.1753900051116943,300,1.0513942241668701,0.6460970938205719,0.031612456,-0.01721657158341259
32,0.0017600235,-0.034388565,61,5.408908,1059,-4.649648,65536,-42.62654557228088,0.0003,0.313720703125,3.5156975403428077,0.2,0.8114099502563477,310,1.0535480976104736,0.7149164080619812,0.030624814,-0.02139999364153482
33,0.009679837,-2.229536,63,5.4774866,1059,-4.727679,67584,-42.69249131679535,0.0003,0.289111328125,3.469401630759239,0.2,1.3101351261138916,320,1.0561050176620483,0.7383916676044464,0.026800405,-0.020646795113862026
34,0.008601645,1.2011379,65,5.7121625,1060,-5.7686167,69632,-42.763191890716556,0.0003,0.3201171875,3.3060735732316973,0.2,0.6979313492774963,330,1.059196949005127,0.7001271545886993,0.04024724,-0.02074398291297257
35,0.01219012,0.56063837,67,5.56234,1062,-6.7172637,71680,-42.88512413501739,0.0003,0.3134765625,3.8173409029841423,0.2,1.1354626417160034,340,1.0641870498657227,0.6650895476341248,0.034472488,-0.02084023324714508
36,0.011788882,-0.1895857,70,5.439628,1045,-5.117501,73728,-42.99636716842652,0.0003,0.32021484375,3.481577630341053,0.2,0.9390600323677063,350,1.067510962486267,0.7243397235870361,0.029740956,-0.023030681133968757
37,0.00689966,-1.381532,73,5.5098023,1036,-5.259316,75776,-43.06100053787232,0.0003,0.277783203125,3.6484297186136248,0.2,1.545336127281189,360,1.0698078870773315,0.6971515417098999,0.036249973,-0.01632977245899383
38,0.015526459,-0.6640803,75,5.6885605,1033,-7.341025,77824,-43.15334815979004,0.0003,0.304833984375,3.421943795681,0.2,0.9756484031677246,370,1.0736638307571411,0.7405809462070465,0.036959894,-0.007918958360096439
39,0.010064096,-0.9255264,77,6.0004816,1030,-7.8835225,79872,-43.2144900560379,0.0003,0.374755859375,3.1493305996060372,0.2,0.755018949508667,380,1.0746699571609497,0.7513848096132278,0.038307473,-0.018589755610446446
40,0.013981785,-0.80523777,79,5.908554,1032,-5.5787764,81920,-43.260010433197024,0.0003,0.371923828125,3.5047528058290482,0.2,0.8826268911361694,390,1.0770456790924072,0.752850130200386,0.03809562,-0.019823988940333947
