train/reward_max,train/reward_mean,train/reward,train/reward_min,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/std,train/loss,train/entropy_loss,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range
5.036345,-0.029054746,-0.28335497,-4.5870147,933,1,4,4096,,,,,,,,,,,
5.0735917,-0.017078822,0.36492616,-4.989608,881,2,9,8192,1.0009546279907227,2.1183602809906006,-41.16686658859253,10,0.009670857,5.273247666656971,0.10791015625,-0.02326769659121055,-0.09063780307769775,0.0001,0.2
5.045769,-0.018464694,-2.361064,-4.4895196,922,3,13,12288,1.0021721124649048,2.093625068664551,-41.19581878185272,20,0.0088685285,4.749109970033169,0.0876953125,-0.019955956580815837,0.01314479112625122,0.0001,0.2
4.6236296,-0.013616828,1.5718629,-4.7713943,964,4,16,16384,1.0025020837783813,2.0869078636169434,-41.21830153465271,30,0.008967327,4.851147116720677,0.0812255859375,-0.01850093648536131,0.06412160396575928,0.0001,0.2
4.9286065,-0.013779414,0.17966475,-4.6285934,897,5,22,20480,1.0030003786087036,1.7317185401916504,-41.22971715927124,40,0.0086546345,4.406307105720043,0.0711181640625,-0.016743531014071777,0.04874551296234131,0.0001,0.2
5.1477723,-0.007626429,2.425631,-4.6673265,910,6,26,24576,1.0035367012023926,2.056354284286499,-41.24478588104248,50,0.007594878,4.373662297427654,0.06123046875,-0.014525133979623206,0.07055860757827759,0.0001,0.2
5.2568455,-0.010596001,-1.2562056,-4.5456023,929,7,30,28672,1.0032575130462646,1.5143980979919434,-41.24645857810974,60,0.006471028,3.994625286757946,0.0331787109375,-0.011221174021193292,0.14723187685012817,0.0001,0.2
5.498523,-0.01121144,0.22446947,-4.7151017,894,8,36,32768,1.0036922693252563,1.9587982892990112,-41.24954388141632,70,0.0059873816,4.490515863895416,0.0263916015625,-0.01149861748854164,0.13463860750198364,0.0001,0.2
5.7187667,-0.0021914633,-2.1548018,-4.7008624,914,9,40,36864,1.0038583278656006,2.087725877761841,-41.258125400543214,80,0.00846025,4.213052140176297,0.0556396484375,-0.012761876621516422,0.1365147829055786,0.0001,0.2
4.9917736,-0.0012637193,-0.54110235,-4.680351,931,10,43,40960,1.0042469501495361,1.555990219116211,-41.26536846160889,90,0.008296207,3.926507422327995,0.06240234375,-0.015383411414222791,0.20932966470718384,0.0001,0.2
4.9428234,-0.0013505055,0.72540915,-4.4893594,920,11,48,45056,1.0050338506698608,1.7296762466430664,-41.281903219223025,100,0.0060005826,3.8590699821710586,0.031640625,-0.011642427011975088,0.23999571800231934,0.0001,0.2
5.5789375,-0.0013337726,-1.0760785,-4.539558,897,12,54,49152,1.0052391290664673,1.7196890115737915,-41.29680831432343,110,0.0073644277,3.769364969432354,0.0382568359375,-0.010560662524949294,0.25128865242004395,0.0001,0.2
4.975966,-0.0016096025,1.3679017,-4.6114926,864,13,61,53248,1.005490779876709,1.6704869270324707,-41.30443820953369,120,0.0087040225,3.684413468837738,0.061279296875,-0.013215750173549168,0.23260128498077393,0.0001,0.2
4.91971,-0.0037283995,-0.26655757,-4.458897,870,14,65,57344,1.0055664777755737,1.7114943265914917,-41.307879781723024,130,0.007977069,3.8586971148848535,0.053955078125,-0.01578970237605972,0.2594599723815918,0.0001,0.2
5.2572646,0.0007816606,-2.1713383,-4.6065345,880,15,69,61440,1.0054463148117065,1.4986686706542969,-41.30716497898102,140,0.008400768,3.5252629607915877,0.0601806640625,-0.013262353171012365,0.3092636466026306,0.0001,0.2
5.304573,-0.005594317,0.19296311,-4.710069,894,16,73,65536,1.0054317712783813,1.6870328187942505,-41.305374717712404,150,0.009024419,3.610234948992729,0.0616943359375,-0.01371592458744999,0.296345055103302,0.0001,0.2
5.340515,-0.0011209231,0.78290707,-4.761915,908,17,76,69632,1.0061287879943848,1.763967752456665,-41.31518220901489,160,0.00911021,3.908506451547146,0.066015625,-0.013289687171345576,0.2881731390953064,0.0001,0.2
4.957633,0.0004531429,-0.34972,-5.0203333,918,18,80,73728,1.006363868713379,1.5072972774505615,-41.327942967414856,170,0.007081023,3.890919643640518,0.03564453125,-0.011934984844992868,0.3457415699958801,0.0001,0.2
5.238416,-0.0075050737,0.08267231,-4.804679,930,19,83,77824,1.0064059495925903,1.6619157791137695,-41.332737588882445,180,0.009117399,3.7723029524087908,0.0761962890625,-0.01383093378972262,0.28709059953689575,0.0001,0.2
5.2319174,-0.0054830303,-0.31106997,-4.5626464,945,20,86,81920,1.0066202878952026,1.2236472368240356,-41.33561046123505,190,0.010116523,3.643578492105007,0.095751953125,-0.015796495295944624,0.3716644048690796,0.0001,0.2
