train/reward_max,train/reward_mean,train/reward,train/reward_min,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/std,train/loss,train/entropy_loss,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range
4.5790014,-0.03792662,0.4733994,-4.6778603,866,1,1,1024,,,,,,,,,,,
4.670903,-0.013599662,-1.148254,-4.5740137,674,2,3,2048,1.008191466331482,1.1588714122772217,-41.2724534034729,10,0.03352716,4.648443660140037,0.39345703125,-0.044503413984784856,-0.026084423065185547,0.0005,0.2
4.7276087,-0.01587787,1.0209562,-4.367233,742,3,4,3072,1.0196610689163208,0.9823642373085022,-41.5716837644577,20,0.044089265,3.8373552307486536,0.3947265625,-0.040076690376736224,0.1124488115310669,0.0005,0.2
4.2235646,-0.011779504,0.26924822,-4.190568,748,4,5,4096,1.0276076793670654,1.217468500137329,-41.8315363407135,30,0.039371006,3.8077971294522284,0.3876953125,-0.024030194352963007,0.03389233350753784,0.0005,0.2
4.424216,-0.019237028,-0.1978644,-4.279686,771,5,6,5120,1.0341899394989014,0.6460285186767578,-42.027107739448546,40,0.042504437,3.5136501513421536,0.41201171875,-0.030360613227821888,0.16954809427261353,0.0005,0.2
4.6615477,-0.017010862,-1.7001586,-4.299564,760,6,8,6144,1.0425187349319458,0.4905496835708618,-42.22822334766388,50,0.04364127,3.377156415581703,0.40732421875,-0.02299924080434721,0.20312124490737915,0.0005,0.2
4.4346323,-0.0073220506,0.99997395,-4.375,711,7,10,7168,1.0493929386138916,0.6747361421585083,-42.45473027229309,60,0.04138292,3.2864538192749024,0.41376953125,-0.018035365943796934,0.20597845315933228,0.0005,0.2
4.8777947,-0.00071862125,0.23318267,-5.039708,690,8,11,8192,1.0526970624923706,0.5389963984489441,-42.586577439308165,70,0.041563876,3.62215945571661,0.3822265625,-0.022447657622979022,0.24823319911956787,0.0005,0.2
4.3556952,-0.0032385536,0.19327678,-3.9174047,706,9,13,9216,1.0612565279006958,1.200750708580017,-42.72845623493195,80,0.05835808,3.417772963643074,0.415625,-0.030047828215174377,0.22118747234344482,0.0005,0.2
4.879198,-0.01781834,-0.14767338,-4.4142528,725,10,14,10240,1.0673596858978271,1.0692837238311768,-42.944898462295534,90,0.065421775,3.2468928076326846,0.46015625,-0.025961190450470895,0.2409176230430603,0.0005,0.2
4.8998866,-0.008408387,-0.413946,-4.499071,742,11,15,11264,1.077588438987732,0.0988314151763916,-43.16145691871643,100,0.06021221,3.7664417497813703,0.42138671875,-0.02016068500815891,0.2366420030593872,0.0005,0.2
4.249734,-0.0015903128,-2.6264713,-3.9770937,757,12,16,12288,1.0851339101791382,0.9031851887702942,-43.41645791530609,110,0.05849916,3.210117095708847,0.45712890625,-0.02189259630977176,0.32568997144699097,0.0005,0.2
