date,account_value
2019-04-10,1061087.8401244204
2019-04-11,1054424.7019416697
2019-04-12,1062475.9717719767
2019-04-15,1065509.5017870525
2019-04-16,1057307.5475474512
2019-04-17,1047484.2301464656
2019-04-18,1046525.6480019648
2019-04-22,1044897.568810261
2019-04-23,1057023.5333111994
2019-04-24,1058010.6699785693
2019-04-25,1067138.9516582224
2019-04-26,1072431.9226938747
2019-04-29,1071427.697959881
2019-04-30,1066841.5643892176
2019-05-01,1054436.6113346522
2019-05-02,1053059.3273705943
2019-05-03,1062661.5524606288
2019-05-06,1065013.0285096325
2019-05-07,1049131.4212147715
2019-05-08,1047580.8199490932
2019-05-09,1046243.4246915629
2019-05-10,1051573.103309727
2019-05-13,1030628.6150610163
2019-05-14,1033894.9848878786
2019-05-15,1040110.63911541
2019-05-16,1048521.3681665423
2019-05-17,1045657.6909012262
2019-05-20,1041506.6336487696
2019-05-21,1047671.6323178294
2019-05-22,1051415.9499218944
2019-05-23,1045247.2034866908
2019-05-24,1042740.5448648531
2019-05-28,1034924.0432828601
2019-05-29,1030080.2888928225
2019-05-30,1037462.2157584497
2019-05-31,1027701.2920352748
2019-06-03,1031978.1407938463
2019-06-04,1047959.6575181696
2019-06-05,1055440.3414594615
2019-06-06,1063616.9939659426
2019-06-07,1076986.4105415384
2019-06-10,1067969.2186213876
2019-06-11,1067905.0019236947
2019-06-12,1072270.0484630014
2019-06-13,1077225.5640541727
2019-06-14,1076619.766331009
2019-06-17,1078678.3722805178
2019-06-18,1087427.7113775713
2019-06-19,1093391.444306984
2019-06-20,1099617.8395970424
2019-06-21,1103142.2407397348
2019-06-24,1095727.8656433986
2019-06-25,1094042.4971372646
2019-06-26,1088977.3081611139
2019-06-27,1096289.8482386745
2019-06-28,1098553.3125064052
2019-07-01,1103382.759982487
2019-07-02,1111664.5825597118
2019-07-03,1123434.6887542307
2019-07-05,1115659.4858250315
2019-07-08,1109082.0659623758
2019-07-09,1108349.8281770365
2019-07-10,1114734.9596925394
2019-07-11,1111619.7074723092
2019-07-12,1107913.745912037
2019-07-15,1113617.58080431
2019-07-16,1111360.5372786142
2019-07-17,1108744.180665455
2019-07-18,1115652.6377424814
2019-07-19,1106367.0223097422
2019-07-22,1105604.7312788584
2019-07-23,1105541.1868223764
2019-07-24,1104812.2427229502
2019-07-25,1103992.29804369
2019-07-26,1111289.8104261972
2019-07-29,1111345.1731886484
2019-07-30,1106934.7621397593
2019-07-31,1114856.6033568003
2019-08-01,1111971.9141172983
2019-08-02,1115295.7176286052
2019-08-05,1086427.4262811816
2019-08-06,1102407.6901114427
2019-08-07,1103500.186660435
2019-08-08,1115282.933603493
2019-08-09,1138241.0863300632
2019-08-12,1141458.3436266824
2019-08-13,1155522.3501743586
2019-08-14,1127209.9895953296
2019-08-15,1132977.4103583414
2019-08-16,1147399.3084048426
2019-08-19,1154845.121582966
2019-08-20,1147079.2064154209
2019-08-21,1155265.2080099948
2019-08-22,1150286.5457230608
2019-08-23,1126271.8495772898
2019-08-26,1147414.004333485
2019-08-27,1144563.8520784648
2019-08-28,1151445.651886265
2019-08-29,1161070.0632856067
2019-08-30,1162821.7235714037
2019-09-03,1150845.996679684
2019-09-04,1157218.033060696
2019-09-05,1166020.3626411823
2019-09-06,1165300.8599500316
2019-09-09,1153089.6422048227
2019-09-10,1131425.7452054636
2019-09-11,1136366.8656659739
2019-09-12,1134637.6272130625
2019-09-13,1133229.0794568674
2019-09-16,1124272.4417519495
2019-09-17,1133271.732004963
2019-09-18,1132099.6175106394
2019-09-19,1134123.5929287302
2019-09-20,1133812.6017958606
2019-09-23,1137242.922090172
2019-09-24,1131770.1997906421
2019-09-25,1134716.820960686
2019-09-26,1129854.2140392382
2019-09-27,1126530.5917324144
2019-09-30,1130538.7949871141
2019-10-01,1117797.2081646044
2019-10-02,1099576.1414302904
2019-10-03,1113576.2268449748
2019-10-04,1127917.9461541637
2019-10-07,1130845.7280630914
2019-10-08,1122626.434876736
2019-10-09,1129931.0435844616
2019-10-10,1133866.930779915
2019-10-11,1137539.6728210605
2019-10-14,1138654.475625458
2019-10-15,1148379.7221943971
2019-10-16,1144690.660186432
2019-10-17,1146065.5929756626
2019-10-18,1142606.817917374
2019-10-21,1145970.5938573154
2019-10-22,1131699.3672032626
2019-10-23,1129989.4990164454
2019-10-24,1125282.8367373012
2019-10-25,1126588.151951462
2019-10-28,1130757.2225927508
2019-10-29,1138004.1686682894
2019-10-30,1152557.8359427645
2019-10-31,1154051.9427799839
2019-11-01,1164278.6201947215
2019-11-04,1150788.5903528025
2019-11-05,1159426.7363055155
2019-11-06,1163840.8857150995
2019-11-07,1167284.5532349818
