train/reward_max,train/reward_mean,train/reward,train/reward_min,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/std,train/loss,train/entropy_loss,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range
4.8891215,-0.028670795,-1.018528,-4.439708,1405,1,1,2048,,,,,,,,,,,
5.0473995,-0.021527786,0.24729045,-4.7180142,1238,2,3,4096,1.0030293464660645,1.7285810708999634,-41.21146659851074,10,0.01525348,4.483334748446941,0.19755859375,-0.03549150192120578,-0.0257951021194458,0.0003,0.2
4.646406,-0.031393148,-1.2424805,-4.6064577,1221,3,5,6144,1.0063679218292236,1.6819357872009277,-41.28892683982849,20,0.01868371,4.203680758178234,0.217138671875,-0.030854616063879802,0.10603362321853638,0.0003,0.2
4.606371,-0.010365754,-0.02849388,-4.448541,1213,4,6,8192,1.0075215101242065,1.300447940826416,-41.35777611732483,30,0.020095158,4.174582077562809,0.23916015625,-0.028696000049239955,0.10100269317626953,0.0003,0.2
4.8626084,-0.017362928,-0.28634152,-4.6860113,1210,5,8,10240,1.0094906091690063,1.0729252099990845,-41.38908724784851,40,0.025849113,3.6481110483407972,0.26142578125,-0.029737963181105442,0.21612882614135742,0.0003,0.2
4.876039,-0.021207161,-2.09941,-4.8560057,1204,6,10,12288,1.011836051940918,1.6315059661865234,-41.45477917194366,50,0.024012439,4.163195788860321,0.2796875,-0.028288897481979804,0.23201727867126465,0.0003,0.2
4.783452,-0.015612767,0.37308863,-4.698474,1139,7,12,14336,1.0143316984176636,1.2898190021514893,-41.52415935993194,60,0.025275342,4.093304619193077,0.2349609375,-0.02344535992888268,0.30712008476257324,0.0003,0.2
4.833147,-0.010254501,0.9578773,-4.8295717,1061,8,15,16384,1.015962839126587,1.4506112337112427,-41.589492893218996,70,0.01677214,4.025783570110798,0.205810546875,-0.02578043929534033,0.29863500595092773,0.0003,0.2
4.7272353,-0.011671773,0.43541095,-4.7417173,1062,9,17,18432,1.0182362794876099,0.9354392290115356,-41.63688774108887,80,0.028778782,3.4163719400763513,0.283447265625,-0.02688873294973746,0.29003751277923584,0.0003,0.2
4.9226866,-0.0035693499,0.3704073,-5.072173,1064,10,19,20480,1.0207878351211548,1.0958893299102783,-41.7039458990097,90,0.022246875,2.985592246055603,0.26494140625,-0.021963929949561135,0.4168563485145569,0.0003,0.2
4.647432,-0.01103201,0.11972726,-4.980004,1069,11,21,22528,1.0225493907928467,1.2811970710754395,-41.76461396217346,100,0.025365436,3.5799499630928038,0.264599609375,-0.023469745932379736,0.3384985327720642,0.0003,0.2
4.984823,-0.013917599,2.6394956,-4.904798,1071,12,22,24576,1.0237618684768677,1.100718379020691,-41.81075568199158,110,0.029298209,3.2780203104019163,0.29638671875,-0.015157438634196297,0.3729841113090515,0.0003,0.2
4.798183,-0.020632066,-0.2527643,-4.9868293,1060,13,25,26624,1.0234637260437012,1.3499916791915894,-41.82100353240967,120,0.023109917,3.3081538930535315,0.245166015625,-0.02522490929113701,0.43060654401779175,0.0003,0.2
5.1502967,-0.017493244,-1.4444742,-4.253964,957,14,29,28672,1.024344801902771,1.3546825647354126,-41.828880715370175,130,0.022878855,3.2930666148662566,0.242822265625,-0.02531528516119579,0.41047054529190063,0.0003,0.2
4.8931146,-0.020676551,0.26894557,-4.7153506,930,15,33,30720,1.0272446870803833,1.0892746448516846,-41.88256070613861,140,0.03792976,3.314794297516346,0.308740234375,-0.016361327600316146,0.4387713670730591,0.0003,0.2
